no,name,address,province,Longitude,Latitude,congregation,risk_1,risk_2,risk_3,preparedness,emergencyResPlan,warningSystem,permanentBuilding,nonPermanentBuilding,doorWindow,buildingCode,constructionDoc,earthquakeResistant,buildingEarthquakeImpact,facilityEarthquakeImpact,faciltyEndanger,evacuationPath,evacuationPathVulnerable,evacuationOfficer,emergencyCommission,competent,evacuationSimulation,preparednessTools,facingDisasterProg,handlingSkill,dataRoutine,disasterResponseSOP,specialBudget,raiseFunds,emergencyResponse,interactionGuide,provideTraining,economicDev,churchEducation,riskReduction,disasterOccurs,trainingNeeds,increaseCapacity,evacuationGuidePerson,lastUpdate,disasterContactPerson,Gempa,Banjir,Kekeringan,Tsunami,Cuaca Ekstrim,Gelombang Ekstrim dan Abrasi,Kebakaran Hutan dan Lahan,Letusan Gunung Berapi,Tanah Longsor,Multi Bahaya,Likuefaksi,Terorisme,Konflik
60,Gereja Baptis Indonesia Karunia Jogja,"Jln. Prof.Dr.Sardjito GK V/70c, Terban",Daerah Istimewa Yogyakarta,-7.778396262,110.3711007,60,Tanah longsor,Wabah penyakit,Konflik sosial,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Tidak punya,"Ya, belum teruji",Tidak ada,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, Kelompok masyarakat peduli bencana",Tidak,Tidak punya,Tidak,Ya,Tidak ada,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,LSM/NGO,Ya,Tidak,Ya,Sedikit siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Pelatihan pengelolaan dana dan bantuan","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Pelatihan pengelolaan dana dan bantuan",Tidak punya,"Rabu, 15/09/2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Yellow,Green,Green,Green,Red,Orange,Green,Orange,Orange
61,Gereja Baptis Indonesia Bukit Zaitun Balangan,"Balangan 004/002 Wukirsari, Cangkringan, Sleman, Yogyakarta",Daerah Istimewa Yogyakarta,-7.662923141,110.4325962,35,Gunung meletus,Hujan abu,Gempa bumi,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Ya,Ya,Tidak punya,"Ya, sudah teruji",Tidak ada,Tidak terdampak,Tidak,"Punya, sudah diperbarui","Punya, sudah diperbarui",Tidak punya,Tidak punya,SAR,"Ya, 1-2 tahun",Kotak P3K,Tidak,Ya,Pendataan pekerjaan/kegiatan usaha jemaat,,Ya,Insidental (penggalangan dana/persembahan bencana),Tidak,Ya,"TNI/POLRI, PMI/SAR/ Damkar (Pemadam Kebakaran), FKUB (Forum Kerukunan Umat Beragama)",Ya,Ya,Ya,Sangat siap,"Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana","Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana",Tidak punya,"Senin, 20/09/2021",Tahu dan bisa mengakses,Green,Green,Green,Green,Orange,Green,Green,Red,Green,Orange,Green,Orange,Orange
62,GKI Ngupasan,Jalan Bhayangkara no.25 Yogyakarta,DIY,-7.799183752,110.3619143,1500,gempa bumi,gunung meletus,terorisme,Punya dan berfungsi,Punya dan berfungsi,Punya dan berfungsi,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui","Punya, aktif dan selalu meningkatkan kapasitas","Punya, aktif dan selalu meningkatkan kapasitas","BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Peluit, Helm, Lampu senter, Lampu darurat, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",Shelter Covid dalam kerjasama dengan YEU.(Yakkum Emergency Unit),Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Tidak,"PMI/SAR/ Damkar (Pemadam Kebakaran), LSM/NGO",Ya,Tidak,Ya,Siap,"Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Interaksi dan konflik sosial, Terorisme","Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Interaksi dan konflik sosial, Terorisme","Punya, aktif dan selalu meningkatkan kapasitas","Rabu, 22 September 2021",Tahu dan bisa mengakses,Red,Green,Green,Green,Yellow,Green,Green,Orange,Green,Orange,Green,Orange,Orange
63,Gereja Presbiterian Injili Indonesia (GPII),"Sanggrahan Rt 04/Rw 16 Tlogoadi, Mlati, Sleman DIY",Daerah Istimewa Yogyakarta,-7.717856,110.363999,75,Gunung meletus,COVID-19,Kebebasan beribadah,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,Punya,Punya,Tidak punya,Tidak punya,SAR,Tidak,Lampu senter,Tidak,Tidak,Tidak ada,,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,tidak ada,Tidak,Tidak,Tidak,Sedikit siap,Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD),Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD),Tidak punya,"Rabu, 22 September 2021",Tidak tahu dan tidak bisa mengakses,Green,Green,Green,Green,Green,Green,Green,Red,Green,Orange,Green,Orange,Orange
64,GBI Sidomoyo,Tegalan rt 02 rw 10 Sidomoyo Godean Sleman ,Yogyakarta,-7.76279,110.320596,300,Gempa,Gunung meletus,Kesenjangan sosial,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,Tidak,Ya,Tidak punya,"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Ada tim.. situasional,Kelompok masyarakat peduli bencana,Tidak,"Lampu darurat, Rompi, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset",Ya,Tidak,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak)",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Tidak,Tidak,Belum pernah,Tidak,Tidak,Ya,Sedikit siap,Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD),Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD),Tidak punya,"Kamis, 23 September 2021",Tahu dan bisa mengakses,Red,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Green,Orange,Orange
65,GKI WONGSODIRJAN ,Jl. Wongsodirjan no 2 Yogyakarta,DIY,-7.787994,110.362609,863,Epidemi Wabah Penyakit (Covid & DB),Gunung meletus,Gempa bumi,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Bangunan lama,Tidak punya,Tidak,Tidak ada,Tidak terdampak,Tidak,"Punya, tetapi tidak diperbarui","Punya, tetapi tidak diperbarui",Tidak punya,Punya tetapi tidak aktif,"BPBD/BNPB, SAR, PMI",Tidak,"Alat pemadam kebakaran, Alat pengeras suara, Genset",Tidak,Tidak,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",Belum ada SOP yang baku. Sifatnya yg dilakukan insidental,Bidang Kespel,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,Saya belum pernah mengikuti,Tidak,Tidak,Ya,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Keterampilan psikososial dalam penanganan korban bencana",Tidak punya,"Kamis, 23 September 2021",Tidak tahu dan tidak bisa mengakses,Yellow,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Green,Orange,Orange
66,Gereja Presbiterian Injili Indonesia,"Dsn Sambiroto RT 6, RW 03, Ds Purwomartani, Kalasan, Sleman",DIY,-7.733710888,110.4484759,90,angin kencang/ puting beliung,kebebasan beribadah,toleransi di sekolah,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Terdampak tetapi masih ada pada tempatnya,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,BPBD/BNPB,Tidak,"Peluit, Lampu senter",Tidak,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi)",,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,FKUB (Forum Kerukunan Umat Beragama),Ya,Ya,Tidak,Tidak siap,"Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana","Teologi Bencana (Church and Community Transformation Resilience Approach-CCT), Simulasi menghadapi bencana",Tidak punya,"Kamis, 23 September 2021",Tidak tahu dan tidak bisa mengakses,Yellow,Green,Green,Green,Red,Green,Green,Green,Green,Orange,Green,Orange,Orange
67,Gereja Kristen Nazarene Filadelfia,"Jl. Babarsari No.23, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",D.I. Yogyakarta,-7.775295,110.415826,352,"Konflik Sosial (Perkelahian antar kelompok - Mahasiswa, suku, kelompok masyarakat, organisasi masa)",Erupsi Gunung Berapi,Gempa Bumi,Tidak punya,Tidak punya,Tidak punya,Ya,,Ya,Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Tidak punya,"BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Lampu senter, Lampu darurat, Kotak P3K, Alat pengeras suara, Genset",Ya,Tidak,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat",,Tidak,Insidental (penggalangan dana/persembahan bencana),Tidak,Tidak,LSM/NGO,Tidak,Ya,Tidak,Tidak siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Simulasi menghadapi bencana, Disabilitas dan inklusi, Keterampilan psikososial dalam penanganan korban bencana, Pelatihan pengelolaan dana dan bantuan, Epidemi dan wabah penyakit",Tidak punya,11 Oktober 2021,Tidak tahu dan tidak bisa mengakses,Orange,Green,Green,Green,Green,Green,Green,Orange,Green,Orange,Green,Orange,Orange
68,GKI GEJAYAN,"Jl. Jembatan Merah 84D, Prayan Kulon, Soropadan, Depok, Sleman, DIY.",Daerah Istimewa Yogyakarta,-7.763464,110.394965,6500,(Abu) Gunung Meletus,Gempa Bumi,Angin Kencang,Punya dan berfungsi,Punya dan berfungsi,Tidak punya,Ya,,"ya, meskipun belum ideal",Ya,Punya dan tersimpan dengan baik (mudah diakses),"Ya, sudah teruji",Tidak ada,Tidak terdampak,Ya,"Punya, sudah diperbarui",Tidak punya,"Ada, tp belum.di upgrade berkala","Punya, tapi belum.diupgrade berkala","BPBD/BNPB, LSM/NGO Kebencanaan, Kelompok masyarakat peduli bencana","Ya, > 2 tahun","Peluit, Tandu, Alat pemadam kebakaran, Alat pengeras suara, Safety Box berisi dokumen penting, Genset",Ya,Ya,"Pendataan golongan darah, Pendataan penyintas COVID-19, Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Insidental (penggalangan dana/persembahan bencana),Ya,"Tidak punya panduan tertulis, tapi pihak terkait sdh terbiasa menerapkan","TNI/POLRI, PMI/SAR/ Damkar (Pemadam Kebakaran), BNPT (Badan Nasional Penanganan Terorisme), FKUB (Forum Kerukunan Umat Beragama), LSM/NGO",Ya,Tidak,Tidak,Siap,"Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Epidemi dan wabah penyakit","Perubahan iklim dan dampaknya, lingkungan, kualitas, dan kelestarian, Epidemi dan wabah penyakit","Ada, tp belum.di upgrade berkala","Senin, 11 Oktober 2021",Tahu dan bisa mengakses,Orange,Green,Green,Green,Yellow,Green,Green,Red,Green,Orange,Green,Orange,Orange
69,GKI Gondomanan ,Jl. Ledok Gondomanan 01 Yogyakarta 55121,DIY,-7.803937,110.370249,356,Pandemi Covid19,Banjir,Angin Puting Beliung,"Punya, tetapi tidak aktif/tidak berfungsi","Punya, tetapi tidak aktif/tidak berfungsi",Tidak punya,Ya,,Ya,Ya,Pernah mempunyai (tidak dapat diakses lagi),"Ya, sudah teruji",Retak ringan,Tidak terdampak,Tidak,Tidak punya,Tidak punya,Tidak punya,Tanggap Darurat masih dibawah BPMJ secara langsung,"BPBD/BNPB, SAR, PMI","Jika tekait Covid 19, pernah mengikuti","Lampu senter, Lampu darurat, Kotak P3K, Alat pemadam kebakaran, Alat pengeras suara, Genset",Ya,Ya,"Pendataan kelompok rentan (disabilitas, lansia, ibu hamil, dan anak-anak), Pendataan penyintas COVID-19, Pendataan ekonomi jemaat (tingkat perekonomian jemaat, bagaimana cara jemaat mengatasi perubahan kebutuhan ekonomi disaat pandemi), Pendataan pekerjaan/kegiatan usaha jemaat",,Ya,Keduanya (insidental dan alokasi anggaran bulanan khusus bencana),Ya,Tidak,"LSM/NGO, Sinode Wilayah GKI","Ya, tapi tidak secara khusus",Tidak,Ya,Siap,"Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Epidemi dan wabah penyakit","Pelatihan Pertolongan Pertama pada Gawat Darurat (PPGD), Rencana Kontijensi Bencana (rencana gereja bergerak bersama jejaring seperti pelatihan dengan BPBD/BNPB/LSM/SAR, dll.), Epidemi dan wabah penyakit",Tidak punya,"Selasa, 12/10/2021",Tahu dan bisa mengakses,Green,Orange,Green,Green,Yellow,Green,Green,Green,Green,Orange,Green,Orange,Orange
